sales_game_id,title,platform,genre,publisher,developer,release_year,source
54,Super Mario 3D Land,3DS,Platform,Nintendo,,2011.0,kaggle:ulrikthygepedersen/video-games-sales
55,Gran Turismo 5,PS3,Racing,Sony Computer Entertainment,,2010.0,kaggle:ulrikthygepedersen/video-games-sales
56,Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,,2009.0,kaggle:ulrikthygepedersen/video-games-sales
57,Grand Theft Auto IV,PS3,Action,Take-Two Interactive,,2008.0,kaggle:ulrikthygepedersen/video-games-sales
58,Super Mario All-Stars,SNES,Platform,Nintendo,,1993.0,kaggle:ulrikthygepedersen/video-games-sales
59,Pokemon FireRed/Pokemon LeafGreen,GBA,Role-Playing,Nintendo,,2004.0,kaggle:ulrikthygepedersen/video-games-sales
60,Super Mario 64,DS,Platform,Nintendo,,2004.0,kaggle:ulrikthygepedersen/video-games-sales
61,Just Dance 3,Wii,Misc,Ubisoft,,2011.0,kaggle:ulrikthygepedersen/video-games-sales
62,Call of Duty: Ghosts,X360,Shooter,Activision,,2013.0,kaggle:ulrikthygepedersen/video-games-sales
63,Halo: Reach,X360,Shooter,Microsoft Game Studios,,2010.0,kaggle:ulrikthygepedersen/video-games-sales
64,Mario Kart 64,N64,Racing,Nintendo,,1996.0,kaggle:ulrikthygepedersen/video-games-sales
65,New Super Mario Bros. 2,3DS,Platform,Nintendo,,2012.0,kaggle:ulrikthygepedersen/video-games-sales
66,Halo 4,X360,Shooter,Microsoft Game Studios,,2012.0,kaggle:ulrikthygepedersen/video-games-sales
67,Final Fantasy VII,PS,Role-Playing,Sony Computer Entertainment,,1997.0,kaggle:ulrikthygepedersen/video-games-sales
68,Call of Duty: Ghosts,PS3,Shooter,Activision,,2013.0,kaggle:ulrikthygepedersen/video-games-sales
69,Just Dance 2,Wii,Misc,Ubisoft,,2010.0,kaggle:ulrikthygepedersen/video-games-sales
70,Gran Turismo 2,PS,Racing,Sony Computer Entertainment,,1999.0,kaggle:ulrikthygepedersen/video-games-sales
71,Call of Duty 4: Modern Warfare,X360,Shooter,Activision,,2007.0,kaggle:ulrikthygepedersen/video-games-sales
72,Donkey Kong Country,SNES,Platform,Nintendo,,1994.0,kaggle:ulrikthygepedersen/video-games-sales
