meta_game_id,title,platform,meta_score,user_score,release_date,developer,publisher,genre,source
110,,,,,,,,,kaggle:mohamedhanyyy/video-games
111,,,,,,,,,kaggle:mohamedhanyyy/video-games
112,,,,,,,,,kaggle:mohamedhanyyy/video-games
113,,,,,,,,,kaggle:mohamedhanyyy/video-games
114,,,,,,,,,kaggle:mohamedhanyyy/video-games
115,,,,,,,,,kaggle:mohamedhanyyy/video-games
116,,,,,,,,,kaggle:mohamedhanyyy/video-games
117,,,,,,,,,kaggle:mohamedhanyyy/video-games
118,,,,,,,,,kaggle:mohamedhanyyy/video-games
119,,,,,,,,,kaggle:mohamedhanyyy/video-games
120,,,,,,,,,kaggle:mohamedhanyyy/video-games
121,,,,,,,,,kaggle:mohamedhanyyy/video-games
122,,,,,,,,,kaggle:mohamedhanyyy/video-games
123,,,,,,,,,kaggle:mohamedhanyyy/video-games
124,,,,,,,,,kaggle:mohamedhanyyy/video-games
125,,,,,,,,,kaggle:mohamedhanyyy/video-games
126,,,,,,,,,kaggle:mohamedhanyyy/video-games
127,,,,,,,,,kaggle:mohamedhanyyy/video-games
128,,,,,,,,,kaggle:mohamedhanyyy/video-games
129,,,,,,,,,kaggle:mohamedhanyyy/video-games
130,,,,,,,,,kaggle:mohamedhanyyy/video-games
131,,,,,,,,,kaggle:mohamedhanyyy/video-games
132,,,,,,,,,kaggle:mohamedhanyyy/video-games
133,,,,,,,,,kaggle:mohamedhanyyy/video-games
134,,,,,,,,,kaggle:mohamedhanyyy/video-games
135,,,,,,,,,kaggle:mohamedhanyyy/video-games
136,,,,,,,,,kaggle:mohamedhanyyy/video-games
137,,,,,,,,,kaggle:mohamedhanyyy/video-games
138,,,,,,,,,kaggle:mohamedhanyyy/video-games
139,,,,,,,,,kaggle:mohamedhanyyy/video-games
140,,,,,,,,,kaggle:mohamedhanyyy/video-games
141,,,,,,,,,kaggle:mohamedhanyyy/video-games
142,,,,,,,,,kaggle:mohamedhanyyy/video-games
143,,,,,,,,,kaggle:mohamedhanyyy/video-games
144,,,,,,,,,kaggle:mohamedhanyyy/video-games
145,,,,,,,,,kaggle:mohamedhanyyy/video-games
146,,,,,,,,,kaggle:mohamedhanyyy/video-games
147,,,,,,,,,kaggle:mohamedhanyyy/video-games
148,,,,,,,,,kaggle:mohamedhanyyy/video-games
149,,,,,,,,,kaggle:mohamedhanyyy/video-games
150,,,,,,,,,kaggle:mohamedhanyyy/video-games
151,,,,,,,,,kaggle:mohamedhanyyy/video-games
152,,,,,,,,,kaggle:mohamedhanyyy/video-games
153,,,,,,,,,kaggle:mohamedhanyyy/video-games
154,,,,,,,,,kaggle:mohamedhanyyy/video-games
155,,,,,,,,,kaggle:mohamedhanyyy/video-games
156,,,,,,,,,kaggle:mohamedhanyyy/video-games
157,,,,,,,,,kaggle:mohamedhanyyy/video-games
158,,,,,,,,,kaggle:mohamedhanyyy/video-games
159,,,,,,,,,kaggle:mohamedhanyyy/video-games
160,,,,,,,,,kaggle:mohamedhanyyy/video-games
161,,,,,,,,,kaggle:mohamedhanyyy/video-games
162,,,,,,,,,kaggle:mohamedhanyyy/video-games
163,,,,,,,,,kaggle:mohamedhanyyy/video-games
164,,,,,,,,,kaggle:mohamedhanyyy/video-games
165,,,,,,,,,kaggle:mohamedhanyyy/video-games
166,,,,,,,,,kaggle:mohamedhanyyy/video-games
167,,,,,,,,,kaggle:mohamedhanyyy/video-games
168,,,,,,,,,kaggle:mohamedhanyyy/video-games
169,,,,,,,,,kaggle:mohamedhanyyy/video-games
170,,,,,,,,,kaggle:mohamedhanyyy/video-games
171,,,,,,,,,kaggle:mohamedhanyyy/video-games
172,,,,,,,,,kaggle:mohamedhanyyy/video-games
173,,,,,,,,,kaggle:mohamedhanyyy/video-games
174,,,,,,,,,kaggle:mohamedhanyyy/video-games
175,,,,,,,,,kaggle:mohamedhanyyy/video-games
176,,,,,,,,,kaggle:mohamedhanyyy/video-games
177,,,,,,,,,kaggle:mohamedhanyyy/video-games
178,,,,,,,,,kaggle:mohamedhanyyy/video-games
179,,,,,,,,,kaggle:mohamedhanyyy/video-games
180,,,,,,,,,kaggle:mohamedhanyyy/video-games
181,,,,,,,,,kaggle:mohamedhanyyy/video-games
182,,,,,,,,,kaggle:mohamedhanyyy/video-games
183,,,,,,,,,kaggle:mohamedhanyyy/video-games
184,,,,,,,,,kaggle:mohamedhanyyy/video-games
185,,,,,,,,,kaggle:mohamedhanyyy/video-games
186,,,,,,,,,kaggle:mohamedhanyyy/video-games
187,,,,,,,,,kaggle:mohamedhanyyy/video-games
188,,,,,,,,,kaggle:mohamedhanyyy/video-games
189,,,,,,,,,kaggle:mohamedhanyyy/video-games
190,,,,,,,,,kaggle:mohamedhanyyy/video-games
191,,,,,,,,,kaggle:mohamedhanyyy/video-games
192,,,,,,,,,kaggle:mohamedhanyyy/video-games
193,,,,,,,,,kaggle:mohamedhanyyy/video-games
194,,,,,,,,,kaggle:mohamedhanyyy/video-games
195,,,,,,,,,kaggle:mohamedhanyyy/video-games
196,,,,,,,,,kaggle:mohamedhanyyy/video-games
197,,,,,,,,,kaggle:mohamedhanyyy/video-games
198,,,,,,,,,kaggle:mohamedhanyyy/video-games
199,,,,,,,,,kaggle:mohamedhanyyy/video-games
200,,,,,,,,,kaggle:mohamedhanyyy/video-games
201,,,,,,,,,kaggle:mohamedhanyyy/video-games
202,,,,,,,,,kaggle:mohamedhanyyy/video-games
